group,variate,origin,n_variates,mean_abs_corr,mase_joint,mase_single
ds-2-5T,v001,2435,8,0.43,0.32918666055658846,0.3411850457530757
ds-2-5T,v003,2435,8,0.43,0.39326244275006267,0.3799439978174443
ds-2-5T,v005,2435,8,0.43,0.1335595911132383,0.12771716059613356
ds-2-5T,v006,2435,8,0.43,0.29938452613361394,0.2693719935023077
ds-2-5T,v008,2435,8,0.43,0.360686099982126,0.40418103032833275
ds-2-5T,v009,2435,8,0.43,0.386706267757484,0.3926089504304143
ds-2-5T,v011,2435,8,0.43,0.16017861200955258,0.1425963182276982
ds-2-5T,v000,2822,8,0.43,0.2646050353731253,0.24564335798290293
ds-2-5T,v001,2822,8,0.43,0.14547054072763008,0.2753847684757388
ds-2-5T,v003,2822,8,0.43,0.13810820864975312,0.10666608637350126
ds-2-5T,v005,2822,8,0.43,0.11596046572003234,0.08927354488294538
ds-2-5T,v006,2822,8,0.43,0.565982498759403,0.5307516527062544
ds-2-5T,v008,2822,8,0.43,0.33481918200672617,0.3461770595548689
ds-2-5T,v009,2822,8,0.43,0.07823272072816936,0.11315436633826592
ds-2-5T,v011,2822,8,0.43,0.10045511872433671,0.12205896540443184
ds-2-5T,v000,3209,8,0.43,0.08785375910126879,0.07769537984252868
ds-2-5T,v001,3209,8,0.43,0.09136439266893548,0.05935521258608232
ds-2-5T,v003,3209,8,0.43,0.06504776610176988,0.09878453669948288
ds-2-5T,v005,3209,8,0.43,0.02538092983636266,0.110610443794941
ds-2-5T,v006,3209,8,0.43,0.06448721245696908,0.01244826002864828
ds-2-5T,v008,3209,8,0.43,0.029489307006817355,0.02421503307564953
ds-2-5T,v009,3209,8,0.43,0.09788559985374627,0.10550600438765449
ds-2-5T,v011,3209,8,0.43,0.05424543103860383,0.034683496530742444
ds-2-5T,v000,3596,8,0.43,0.03504127458773734,0.02121357248103292
ds-2-5T,v001,3596,8,0.43,0.03295503712182906,0.050895214527483974
ds-2-5T,v003,3596,8,0.43,0.17165947205555326,0.24522443471323474
ds-2-5T,v005,3596,8,0.43,0.028456758821896636,0.03401389590048068
ds-2-5T,v006,3596,8,0.43,0.05216455775301967,0.04672345237522452
ds-2-5T,v008,3596,8,0.43,0.0050558864314406505,0.009130094927962922
ds-2-5T,v009,3596,8,0.43,0.18942302761442334,0.10787334465155084
ds-2-5T,v011,3596,8,0.43,0.3290615628210152,0.36161430358670626
ds-2-5T,v000,3983,8,0.43,0.17887771437156266,0.13479192850750202
ds-2-5T,v001,3983,8,0.43,0.16514851310252632,0.2740114690722294
ds-2-5T,v003,3983,8,0.43,0.05080837224210391,0.11843420244877491
ds-2-5T,v005,3983,8,0.43,0.023898432513931603,0.010247757240874166
ds-2-5T,v006,3983,8,0.43,0.0861625508971363,0.09782809357817533
ds-2-5T,v008,3983,8,0.43,0.02447063006488767,0.04395333869460006
ds-2-5T,v009,3983,8,0.43,0.01644063158523742,0.029893532606155054
